Day,Date,Number of Cases
1,"Jan 30, 2020",1
2,"Jan 31, 2020",1
3,"Feb 1, 2020",1
4,"Feb 2, 2020",2
5,"Feb 3, 2020",2
6,"Feb 4, 2020",3
7,"Feb 5, 2020",3
8,"Feb 6, 2020",3
9,"Feb 7, 2020",3
10,"Feb 8, 2020",3
11,"Feb 9, 2020",3
12,"Feb 10, 2020",3
13,"Feb 11, 2020",3
14,"Feb 12, 2020",3
15,"Feb 13, 2020",3
16,"Feb 14, 2020",3
17,"Feb 15, 2020",3
18,"Feb 16, 2020",3
19,"Feb 17, 2020",3
20,"Feb 18, 2020",3
21,"Feb 19, 2020",3
22,"Feb 20, 2020",3
23,"Feb 21, 2020",3
24,"Feb 22, 2020",3
25,"Feb 23, 2020",3
26,"Feb 24, 2020",3
27,"Feb 25, 2020",3
28,"Feb 26, 2020",3
29,"Feb 27, 2020",3
30,"Feb 28, 2020",3
31,"Feb 29, 2020",3
32,"Mar 1, 2020",3
33,"Mar 2, 2020",3
34,"Mar 3, 2020",5
35,"Mar 4, 2020",6
36,"Mar 5, 2020",28
37,"Mar 6, 2020",29
38,"Mar 7, 2020",31
39,"Mar 8, 2020",34
40,"Mar 10, 2020",44
41,"Mar 11, 2020",50
42,"Mar 12, 2020",73
43,"Mar 13, 2020",75
44,"Mar 14, 2020",83
45,"Mar 15, 2020",90
46,"Mar 16, 2020",93
47,"Mar 17, 2020",125
48,"Mar 18, 2020",137
49,"Mar 19, 2020",165
50,"Mar 20, 2020",191
51,"Mar 21, 2020",231
52,"Mar 22, 2020",320
53,"Mar 23, 2020",439
54,"Mar 24, 2020",492
55,"Mar 25, 2020",562
56,"Mar 26, 2020",649
57,"Mar 27, 2020",724
58,"Mar 28, 2020",873
59,"Mar 29, 2020",979
60,"Mar 30, 2020",1071
61,"Mar 31, 2020",1251
62,"Apr 1, 2020",1397
63,"Apr 2, 2020",1965
64,"Apr 3, 2020",2301
65,"Apr 4, 2020",2902
66,"Apr 5, 2020",3374
67,"Apr 6, 2020",4067
68,"Apr 7, 2020",4421
69,"Apr 8, 2020",5194
70,"Apr 9, 2020",5734
71,"Apr 10, 2020",6412
72,"Apr 11, 2020",7447
73,"Apr 12, 2020",8356
74,"Apr 13, 2020",9152
75,"Apr 14, 2020",10363
76,"Apr 15, 2020",11438
77,"Apr 16, 2020",12380
78,"Apr 17, 2020",13387
79,"Apr 18, 2020",14378
80,"Apr 19, 2020",15712
81,"Apr 20, 2020",17265
82,"Apr 21, 2020",18600
83,"Apr 22, 2020",19984
84,"Apr 23, 2020",21393
85,"Apr 24, 2020",23077
86,"Apr 25, 2020",24506
87,"Apr 26, 2020",26496
88,"Apr 27, 2020",27892
89,"Apr 28, 2020",29435
90,"Apr 29, 2020",31332
91,"Apr 30, 2020",33050
92,"May 1, 2020",35043
93,"May 2, 2020",37336
94,"May 3, 2020",39980
95,"May 4, 2020",42533
96,"May 5, 2020",46433
97,"May 6, 2020",49391
98,"May 7, 2020",52952
99,"May 8, 2020",56342
100,"May 9, 2020",59662
101,"May 10, 2020",62939
